,Unnamed: 0,index,Enzyme:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km',Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
0,0,0, aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Quastel J.H.; Woolf B.; Biochem. J.; 20 545 (1926).,26QUA/WOO_1205,310.15,7.4,~0.04,nan, , chemical analysis, phosphate, ," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
1,0,1, aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Woolf B.; Biochem. J.; 23 472 (1929).,29WOO_1206,310.15,7.4,0.01,nan, , chemical analysis and polarimetry, phosphate, ," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
2,0,2, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141,298.15,6.81,3.1,nan, , electrochemistry, , ," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
3,1,3, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,298.15,7.12,3.3,nan, , , , , , , , , , 
4,0,4, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,278.15,6.8,8.4,nan, , polarimetry, barbital, ," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
5,1,5, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,288.15,6.8,6.5,nan, , , , , , , , , , 
6,2,6, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,298.15,6.8,5.1,nan, , , , , , , , , , 
7,3,7, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,311.15,6.8,3.8,nan, , , , , , , , , , 
8,4,8, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,327.15,6.8,2.1,nan, , , , , , , , , , 
9,0,9, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,273.15, ,0.33,nan, , chemical analysis, , ," 4.2.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
10,1,10, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l), , ,293.15, ,0.39,nan, , , , , , , , , , 
11,2,11, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l), , ,313.15, ,0.54,nan, , , , , , , , , , 
12,3,12, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l), , ,333.15, ,0.7,nan, , , , , , , , , , 
13,0,13, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,266.15,7,0.00018,nan, , spectrophotometry, , ," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
14,1,14, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,0.0003,nan, , , , , , , , , , 
15,2,15, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0015,nan, , , , , , , , , , 
16,3,16, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.013,nan, , , , , , , , , , 
17,4,17, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,343.15,7,0.022,nan, , , , , , , , , , 
18,0,18, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,266.15,7,0.00018,nan, , spectrophotometry, , ," 5.3.1.1 & 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
19,1,19, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,0.0003,nan, , , , , , , , , , 
20,2,20, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0015,nan, , , , , , , , , , 
21,3,21, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.013,nan, , , , , , , , , , 
22,4,22, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,343.15,7,0.022,nan, , , , , , , , , , 
23,0,23, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Akano R.; Biochem. Z.; 280 110 (1935).,35AKA_1170,301.15, ,2.3,nan, , , , ," 4.2.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
24,0,24, aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207,278.15,7.0,0.0024,nan, , polarimetry and chemical analysis, barbital, ," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
25,1,25, aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq), , ,310.15,7.0,0.0076,nan, , , , , , , , , , 
