index,Enzyme:,Reaction:,T(K),pH ,"c(MgCl2,mol dm<sup>-3</sup>)","c(Tris,mol dm<sup>-3</sup>)",δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
3464, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),298.15,8.85,0.00054,0.10,-7.43,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; Gitomer W.L.; J. Biol. Chem.; 263 3670 (1988).,88TEW/STE2_767," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris
3465, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),304.80,8.85,0.00054,0.10,-7.58,,,,,
3466, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),311.15,7.87,0.0061,0.10,-5.52,,,,,
3467, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),311.15,8.42,0.0061,0.10,-6.70,,,,,
3468, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),311.15,8.54,0.0061,0.10,-6.90,,,,,
3469, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),311.15,8.62,0.0061,0.10,-6.82,,,,,
3470, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),311.15,8.8,0.00054,0.10,-8.08,,,,,
3471, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),311.15,8.8,0.00078,0.30,-8.52,,,,,
3472, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),311.15,8.8,0.00078,0.64,-9.25,,,,,
3473, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),311.15,8.8,0.0011,0.10,-7.99,,,,,
3474, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),311.15,8.8,0.0032,0.10,-7.07,,,,,
3475, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),311.15,8.8,0.0056,0.10,-7.29,,,,,
3476, alkaline phosphatase, D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),311.15,8.99,0.0061,0.10,-6.95,,,,,
