index,Enzyme:,Reaction:,T(K),pH ,salt ,"c(salt,mol dm<sup>-3</sup>)",K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
68, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",273.15,7,MgCl2,0.006,0.00014,Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289," 5.3.1.1 & 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,
69, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",273.15,7,MgCl2,0.12,0.000071,,,,,
70, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",273.15,7,none,--,0.00032,,,,,
71, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.0012,0.0014,,,,,
72, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.0025,0.0011,,,,,
73, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.006,0.00064,,,,,
74, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.012,0.00051,,,,,
75, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.031,0.00031,,,,,
76, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.06,0.00035,,,,,
77, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.06,0.00037,,,,,
78, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.12,0.00029,,,,,
79, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.12,0.00035,,,,,
80, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.24,0.00035,,,,,
81, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,Na2SO4,0.2,0.00055,,,,,
82, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,NaCl,0.043,0.0011,,,,,
83, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,NaCl,0.21,0.00075,,,,,
84, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,NaCl,0.90,0.00047,,,,,
85, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,none,--,0.0015,,,,,
86, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",313.15,7,MgCl2,0.0012,0.0056,,,,,
87, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",313.15,7,MgCl2,0.006,0.0025,,,,,
88, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",313.15,7,MgCl2,0.012,0.0020,,,,,
89, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",313.15,7,MgCl2,0.031,0.0014,,,,,
90, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",313.15,7,none,--,0.0064,,,,,
91, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,MgCl2,0.0012,0.015,,,,,
92, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,MgCl2,0.006,0.0082,,,,,
93, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,MgCl2,0.012,0.0056,,,,,
94, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,MgCl2,0.031,0.0046,,,,,
95, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,MgCl2,0.12,0.0012,,,,,
96, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,none,--,0.019,,,,,
