index,Enzyme:,Reaction:,T(K),pH ,I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1725, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.88,0.25,28,"Veech R.L.; ""Measurement of Respiratory Metabolism in Animal Tissues""; Thesis Oxford University (1968).",68VEE_256," 1.2.1.12 & 2.7.2.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate
1726, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.89,0.25,41,,,,,
1727, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.91,0.25,45,,,,,
1728, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.92,0.25,35,,,,,
1729, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.94,0.25,41,,,,,
1730, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.97,0.25,68,,,,,
1731, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.98,0.25,61,,,,,
1732, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.99,0.25,58,,,,,
1733, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,7.00,0.25,59,,,,,
1734, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,7.01,0.25,71,,,,,
1735, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,7.02,0.25,78,,,,,
