index,Enzyme:,Reaction:,T(K),pH ,"c(Mg2+,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2204, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),298.15,6.99,0.00077,0.25,13.7,Guynn R.W.; Webster L.T. Jr.; Veech R.L.; J. Biol. Chem.; 249 3248 (1974).,74GUY/WEB_1434," 6.2.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry and enzymatic assay,
2205, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),298.15,7.00,0.00077,0.25,10.7,,,,,
2206, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),298.15,7.00,0.00077,0.25,11.1,,,,,
2207, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),298.15,7.00,0.00077,0.25,11.4,,,,,
2208, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),298.15,7.00,0.00095,0.25,11.6,,,,,
2209, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),298.15,7.07,0.00073,0.25,9.81,,,,,
2210, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),311.15,6.89,0.0063,0.25,15.2,,,,,
2211, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),311.15,6.89,0.0063,0.25,15.5,,,,,
2212, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),311.15,6.97,0.0025,0.25,11.5,,,,,
2213, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),311.15,7.00,0.00080,0.25,8.29,,,,,
