index,Enzyme:,Reaction:,T(K),pH ,"c(Mg2+,mol dm<sup>-3</sup>)",K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2559, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,1.48E-4,5.86E2,van der Meer R.; Akerboom T.P.M.; Groen A.K.; Tager J.M.; Eur. J. Biochem.; 84 421 (1978).,78MEE/AKE_258," 1.2.1.12 & 2.7.2.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate  (0.020 mol dm-3)
2560, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,1.66E-4,6.70E2,,,,,
2561, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,1.78E-5,2.88E2,,,,,
2562, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,2.00E-6,2.88E2,,,,,
2563, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,2.09E-4,6.22E2,,,,,
2564, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,2.19E-3,1.54E3,,,,,
2565, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,2.34E-3,1.93E3,,,,,
2566, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,2.34E-5,3.53E2,,,,,
2567, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,3.02E-6,3.06E2,,,,,
2568, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,3.31E-4,8.17E2,,,,,
2569, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,3.80E-4,9.75E2,,,,,
2570, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,6.17E-5,4.12E2,,,,,
2571, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,7.41E-4,1.13E3,,,,,
2572, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,8.32E-5,4.90E2,,,,,
2573, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),310.15,7.0,8.91E-4,1.31E3,,,,,
