index,Enzyme:,Reaction:,T(K),pH ,"c(Mg2+,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2982, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.48,0.0144,0.25,10.8,Guynn R.W.; Arch. Biochem. Biophys.; 218 14 (1982).,82GUY_1398," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, potassium phosphate (0.025 mol dm-3)
2983, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.48,0.0144,0.25,11.0,,,,,
2984, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.57,0.0093,0.25,10.8,,,,,
2985, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.63,0.0142,0.25,11.3,,,,,
2986, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.65,0.0047,0.25,10.6,,,,,
2987, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.65,0.0141,0.25,10.9,,,,,
2988, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.66,0.0046,0.25,10.5,,,,,
2989, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.68,0.0090,0.25,10.8,,,,,
2990, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.70,0.0092,0.25,11.0,,,,,
2991, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.72,0.0092,0.25,10.4,,,,,
2992, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.76,0.00059,0.25,10.7,,,,,
2993, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.76,0.0047,0.25,11.3,,,,,
2994, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.78,0.00059,0.25,10.7,,,,,
2995, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.79,0.0046,0.25,10.3,,,,,
2996, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.83,0.00060,0.25,11.3,,,,,
2997, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),311.15,6.86,0.00059,0.25,10.6,,,,,
