,du_matched_index,standard_id,Enzyme:,KEGG Reaction:,CID Reaction:,Reaction:,Reference:,Reference ID:,PMID,DOI,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
0,140,4336.0,aspartate ammonia-lyase,kegg:C00049 = kegg:C00122 + kegg:C00014,CHB_29991 = CHB_16134 + CHB_29806,L-aspartate(aq) = fumarate(aq) + ammonia(aq),Quastel J.H.; Woolf B.; Biochem. J.; 20 545 (1926).,26QUA/WOO_1205,16743691.0,10.1042/bj0200545,310.15,7.4,0.04, ,chemical analysis,phosphate,   ,4.3.1.1, , , , , 
1,141,2910.0,aspartate ammonia-lyase,kegg:C00049 = kegg:C00122 + kegg:C00014,CHB_29991 = CHB_16134 + CHB_29806,L-aspartate(aq) = fumarate(aq) + ammonia(aq),Woolf B.; Biochem. J.; 23 472 (1929).,29WOO_1206,16744231.0,10.1042/bj0230472,310.15,7.4,0.01, ,chemical analysis and polarimetry,phosphate,   ,4.3.1.1, , , , , 
2,142,2129.0,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,CHB_15377 + CHB_29806 = CHB_15589,fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141, , ,298.15,6.81,3.1, ,electrochemistry, ,mol/L;(K)2(HPO4)1=0.0148;(K)1(H2PO4)1=0.00741  ,4.2.1.2, , , , , 
3,143,2130.0,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,CHB_15377 + CHB_29806 = CHB_15589,fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141, , ,298.15,7.12,3.3, ,electrochemistry, ,mol/L;(K)2(HPO4)1=0.0148;(K)1(H2PO4)1=0.00741  ,4.2.1.2, , , , , 
4,148,791.0,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,CHB_15377 + CHB_29806 = CHB_15589,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142, , ,278.15,6.8,8.4, ,polarimetry,barbital,   ,4.2.1.2, , , , , 
5,147,792.0,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,CHB_15377 + CHB_29806 = CHB_15589,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142, , ,288.15,6.8,6.5, ,polarimetry,barbital,   ,4.2.1.2, , , , , 
6,146,793.0,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,CHB_15377 + CHB_29806 = CHB_15589,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142, , ,298.15,6.8,5.1, ,polarimetry,barbital,   ,4.2.1.2, , , , , 
7,145,794.0,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,CHB_15377 + CHB_29806 = CHB_15589,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142, , ,311.15,6.8,3.8, ,polarimetry,barbital,   ,4.2.1.2, , , , , 
8,144,795.0,fumarate hydratase,kegg:C00122 + kegg:C00001 = kegg:C00149,CHB_15377 + CHB_29806 = CHB_15589,fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142, , ,327.15,6.8,2.1, ,polarimetry,barbital,   ,4.2.1.2, , , , , 
9,149,2629.0,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,CHB_17835 = CHB_15377 + CHB_18021,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169, , ,273.15, ,0.33, ,chemical analysis, ,   ,4.2.1.11, , , , , 
10,150,2627.0,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,CHB_17835 = CHB_15377 + CHB_18021,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169, , ,293.15, ,0.39, ,chemical analysis, ,   ,4.2.1.11, , , , , 
11,151,2630.0,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,CHB_17835 = CHB_15377 + CHB_18021,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169, , ,313.15, ,0.54, ,chemical analysis, ,   ,4.2.1.11, , , , , 
12,152,2628.0,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,CHB_17835 = CHB_15377 + CHB_18021,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169, , ,333.15, ,0.7, ,chemical analysis, ,   ,4.2.1.11, , , , , 
13,,379.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111, ,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100, , ,266.15,7.0,0.00018, ,spectrophotometry, , ,4.1.2.13 & 5.3.1.1, , , , , 
