,doi_from_pubmed,pmid,title,citation,year,authors,journal,volume,issue,pages,url,abstract,reference_code,doi_from_robert,reference_code_in_online_database
0,10.1111/j.1432-1033.1975.tb02418.x,1250,Purification and properties of isoenzymes of cinnamyl-alcohol dehydrogenase from soybean-cell-suspension cultures.,<PubMedArticle 1250> Wyrambik D; Grisebach H. Purification and properties of isoenzymes of cinnamyl-alcohol dehydrogenase from soybean-cell-suspension cultures.. Eur J Biochem. 1975. 59(1):9-15,1975,Wyrambik D; Grisebach H,Eur J Biochem,59,1,9-15,https://ncbi.nlm.nih.gov/pubmed/1250,"Two isoenzymes of an NADP+ -dependent cinnamyl alcohol dehydrogenase and an NAD+ - dependent aliphatic alcohol dehydrogenase were extracted from cell suspension cultures of soybean (Glycine max L., var. Mandarin) which form lignin during growth. These enzymes could be separated from each other by chromatography on DEAE-cellulose and hydroxyapatite. The cinnamyl alcohol dehydrogenase isoenzymes were partially purified by (NH4)2SO4 fractionation, and column chromatography on DEAE-cellulose, Sephadex G-100, and hydroxyapatite. The molecular weight of the enzymes were estimated by the elution volumes from a Sephadex G-100 column and were found to be about 43,000 (isoenzyme 1) and 69,000 (isoenzyme 2). Maximum rates of reaction were observed in the case of coniferyl alcohol oxidation at pH 9.2 (Isoenzyme 1) and pH 8.8 (isoenzyme 2); in the reverse reaction pH 6.5 was optimal for isoenzyme 2. Whereas isoenzyme 1 is specific for coniferyl alcohol, isoenzyme 2 can also oxidize cinnamyl alcohol and a number of substituted cinnamyl alcohols, Km values for substituted cinnamaldehydes are 3-11 times lower than for the corresponding alcohols. Neither isoenzyme reacted with benzyl alcohol, anisic alcohol or ethanol. Substrate inhibition for the forward and reverse reaction was found with isoenzyme 2 but not with isoenzyme 1. The equilibrium constant was determined to be about 10(9) in favour of coniferaldehyde reduction. The possible role of the cinnamyl alcohol dehydrogenase in lignin biosynthesis is discussed.",75WYR/GRI,10.1111/j.1432-1033.1975.tb02418.x,75WYR/GRI_223
1,,7996,[Study of E. coli penicillin amidase. The pH dependence of the equilibrium constant of the enzymatic hydrolysis of benzylpenicillin].,<PubMedArticle 7996> Berezin IV; Klesov AA; Margolin AL; Nys PS; Savitskaia EM. [Study of E. coli penicillin amidase. The pH dependence of the equilibrium constant of the enzymatic hydrolysis of benzylpenicillin].. Antibiotiki. 1976. 21(6):519-23,1976,Berezin IV; Klesov AA; Margolin AL; Nys PS; Savitskaia EM,Antibiotiki,21,6,519-23,https://ncbi.nlm.nih.gov/pubmed/7996,The equilibrium constant for penicillin amidase-catalyzed hydrolysis of benzylpenicillin(Keg =3.00 +/- 0.24 x 10(-3) M at pH 5.0) and the ionization constants for phenylacetic acid (PAA) and the amino groups of 6-aminopenicillanic acid (6-APA) were determined (4.20 and 4.60 under conditions of the kinetic experiments respectively). The experimental data at pH 6.0 satisfactorily correlated with the theoretical pH-dependence for Keg constructed according to the hypothesis that benzylpenicillin synthesis has a thermodynamic optimum at pH 4.4 equal to a half-sum of the pK values for the carboxylic and amino groups of the PAA and 6-APA respectively.,76BER/KLY,,76BER/KLY_1009
2,10.1099/00221287-96-1-185,10346,Purification and characterization of phosphoglycerate mutase from methanol-grown Hyphomicrobium X and Pseudomonas AM1.,<PubMedArticle 10346> Hill B; Attwood MM. Purification and characterization of phosphoglycerate mutase from methanol-grown Hyphomicrobium X and Pseudomonas AM1.. J Gen Microbiol. 1976. 96(1):185-93,1976,Hill B; Attwood MM,J Gen Microbiol,96,1,185-93,https://ncbi.nlm.nih.gov/pubmed/10346,"Phosphoglycerate mutase has been purified from methanol-grown Hyphomicrobium X and Pseudomonas AMI by acid precipitation, heat treatment, ammonium sulphate fractionation, Sephadex G-50 gel filtration and DEAE-cellulose column chromatography. The purification attained using the Hyphomicrobium X extract was 72-fold, and using the Pseudomonas AMI extract, 140-fold. The enzyme purity, as shown by analytical polyacrylamide gel electrophoresis, was 50% from Hyphomicrobium X and 40% from Pseudomonas AMI. The enzyme activity was associated with one band. The purified preparations did not contain detectable amounts of phosphoglycerate kinase, phosphopyruvate hydratase, phosphoglycerate dehydrogenase or glycerate kinase activity. The molecular weight of the enzymic preparation was 32000 +/- 3000. The enzyme from both organisms was stable at low temperatures and, in the presence of 2,3-diphosphoglyceric acid, could withstand exposure to high temperatures. The enzyme from Pseudomonas AMI has a broad pH optimum at 7-0 to 7-6 whilst the enzyme from Hyphomicrobium X has an optimal activity at pH 7-3. The cofactor 2,3-diphosphoglyceric acid was required for maximum enzyme activity and high concentrations of 2-phosphoglyceric acid were inhibitory. The Km values for the Hyphomicrobium X enzyme were: 3-phosphoglyceric acid, 6-0 X 10(-3) M: 2-phosphoglyceric acid, 6-9 X 10(-4) M; 2,3-diphosphoglyceric acid, 8-0 X 10(-6) M; and for the Pseudomonas AMI ENzyme: 3-4 X 10(-3) M, 3-7 X 10(-4) M and 10 X 10(-6) M respectively. The equilibrium constant for the reaction was 11-3 +/- 2-5 in the direction of 2-phosphoglyceric acid to 3-phosphoglyceric acid and 0-09 +/- 0-02 in the reverse direction. The standard free energy for the reaction proceeding from 2-phosphoglyceric acid to 3-phosphoglyceric acid was -5-84 kJ mol(-1) and in the reverse direction +5-81 kJ mol(-1).",76HIL/ATT,10.1099/00221287-96-1-185,76HIL/ATT_1397
3,10.1111/j.1432-1033.1976.tb11021.x,12947,CO2 reduction to formate by NADH catalysed by formate dehydrogenase from Pseudomonas oxalaticus.,<PubMedArticle 12947> Ruschig U; Müller U; Willnow P; Höpner T. CO2 reduction to formate by NADH catalysed by formate dehydrogenase from Pseudomonas oxalaticus.. Eur J Biochem. 1976. 70(2):325-30,1976,Ruschig U; Müller U; Willnow P; Höpner T,Eur J Biochem,70,2,325-30,https://ncbi.nlm.nih.gov/pubmed/12947,"The direct reduction of CO2 to formate is catalysed by formate: NAD oxidoreductase in the presence of substrate amounts of NADH. Proof for this reaction is supplied by the detection of a CO2-dependent NADH oxidation, and by the identification of [14c] formate as the product of a NADH-dependent reduction of [14c]carbonate. The enzyme-catalysed CO2 reduction by NADH attains the equilibrium predicted by thermodynamic considerations, a state which is also reached from the formate side. The Michaelis constant for CO2 is about 40 mM indicating the low affinity of the enzyme for this substrate. The corresponding value for formate is 0.1 mM. Under the special conditions employed the enzyme catalyses the formate oxidation about 30 times faster than the CO2 reduction. That CO2 and not HCO3- is the active species in the reduction was shown by comparing the ph dependency of the velocities of the forward and back reactions and by observing the kinetics of CO2 reduction during the simultaneous attainment of the CO2-HCO3- equilibrium.",76RUS/MUL,10.1111/j.1432-1033.1976.tb11021.x,76RUS/MUL_237
4,10.1016/0003-9861(77)90496-9,18103,Steady state kinetic mechanism of the Escherichia coli coenzyme A transferase.,<PubMedArticle 18103> Sramek SJ; Frerman FE. Steady state kinetic mechanism of the Escherichia coli coenzyme A transferase.. Arch Biochem Biophys. 1977. 181(1):178-84,1977,Sramek SJ; Frerman FE,Arch Biochem Biophys,181,1,178-84,https://ncbi.nlm.nih.gov/pubmed/18103,,77SRA/FRE,10.1016/0003-9861(77)90496-9,77SRA/FRE_722
5,10.1016/0003-2697(78)90745-5,30336,Radioassay of dihydroorotase utilizing ion-exchange chromatography.,<PubMedArticle 30336> Christopherson RI; Matsuura T; Jones ME. Radioassay of dihydroorotase utilizing ion-exchange chromatography.. Anal Biochem. 1978. 89(1):225-34,1978,Christopherson RI; Matsuura T; Jones ME,Anal Biochem,89,1,225-34,https://ncbi.nlm.nih.gov/pubmed/30336,,78CHR/MAT,10.1016/0003-2697(78)90745-5,78CHR/MAT_1038
6,,36398,Effects of pH and free Mg2+ on the Keq of the creatine kinase reaction and other phosphate hydrolyses and phosphate transfer reactions.,<PubMedArticle 36398> Lawson JW; Veech RL. Effects of pH and free Mg2+ on the Keq of the creatine kinase reaction and other phosphate hydrolyses and phosphate transfer reactions.. J Biol Chem. 1979. 254(14):6528-37,1979,Lawson JW; Veech RL,J Biol Chem,254,14,6528-37,https://ncbi.nlm.nih.gov/pubmed/36398,"The observed equilibrium constants (Kobs) of the creatine kinase (EC 2.7.3.2), myokinase (EC 2.7.4.3), glucose-6-phosphatase (EC 3.1.3.9), and fructose-1,6-diphosphatase (EC 3.1.3.11) reactions have been determined at 38 degrees C, pH 7.0, ionic strength 0.25, and varying free magnesium concentrations. The equilibrium constant (KCK) for the creatine kinase reaction defined as: KCK = [sigma ATP] [sigma creatine] divided by ([sigma ADP] [sigma creatine-P] [H+]) was measured at 0.25 ionic strength and 38 degrees C and was shown to vary with free [Mg2+]. The value was found to be 3.78 x 10(8) M-1 at free [Mg2+] = 0 and 1.66 x 10(9) M-1 at free [Mg2+] = 10(-3) M. Therefore, at pH 7.0, the value of Kobs, defined as Kobs = KCK[H+] = [sigma ATP] [sigma creatine] divided by ([sigma ADP] [sigma creatine-P] was 37.8 at free [Mg2+] = 0 and 166 at free [Mg2+] = 10(-3) M. The Kobs value for the myokinase reaction, 2 sigma ADP equilibrium sigma AMP + sigma ATP, was found to vary with free [Mg2+], being 0.391 at free [Mg2+] = 0 and 1.05 at free [Mg2+] = 10(-3) M. Taking the standard state of water to have activity equal to 1, the Kobs of glucose-6-P hydrolysis, sigma glucose-6-P + H2O equilibrium sigma glucose + sigma Pi, was found not to vary with free [Mg2+], being 110 M at both free [Mg2+] = 0 and free [Mg2+] = 10(-3) M. The Kobs of fructose-1,6-P2 hydrolysis, sigma fructose-1,6-P2 equilibrium sigma fructose-6-P + sigma Pi, was found to vary with free [Mg2+], being 272 M at free [Mg2+] = 0 and 174 M at free [Mg2+] = 0.89 x 10(-3) M.",79LAW/VEE,,79LAW/VEE_651
7,,36553,[Kinetics of alpha-chymotrypsin catalyzed hydrolysis in equilibrium. III. Rate constants for individual stages and thermodynamic parameters at different pH's].,<PubMedArticle 36553> Antonov VK; Ginodman LM; Gurova AG. [Kinetics of alpha-chymotrypsin catalyzed hydrolysis in equilibrium. III. Rate constants for individual stages and thermodynamic parameters at different pH's].. Mol Biol (Mosk). 1977. 11(5):1160-6,1977,Antonov VK; Ginodman LM; Gurova AG,Mol Biol (Mosk),11,5,1160-6,https://ncbi.nlm.nih.gov/pubmed/36553,"The rate constants of the individual steps of the reversible chymotryptic hydrolysis of N-acetyl-L-phenylalanylglycinamide and methyl N-acetyl-L-phenylalaninate have been calculated on the basis of data on the velocity of the exchange between these substrates and products of their hydrolysis at equilibrium and also on the basis of steady-state kinetics of their cleavage. This was done for peptide substrate at pH 5.5, 7.3 and 8.2 and for ester substrate at pH 5.5. The free energy of the formation of intermediate complexes and free energy of activation were calculated. Thus a complete kinetic and thermodynamic description of chymotryptic catalysis of various pH is performed.",77ANT/GIN,,77ANT/GIN_964
8,,168198,"The enthalpies of hydrolysis of acyclic, monocyclic, and glycoside cyclic phosphate diesters.","<PubMedArticle 168198> Gerlt JA; Westheimer FH; Sturtevant JM. The enthalpies of hydrolysis of acyclic, monocyclic, and glycoside cyclic phosphate diesters.. J Biol Chem. 1975. 250(13):5059-67",1975,Gerlt JA; Westheimer FH; Sturtevant JM,J Biol Chem,250,13,5059-67,https://ncbi.nlm.nih.gov/pubmed/168198,"The enthalpies of hydrolysis of acyclic, monocyclic, and glycoside cyclic phosphate diesters have been measured by flow microcalorimetry using a phosphohydrolase isolated from Enterobacter aerogenes as catalyst. The values so obtained (kilocalories per mol) (at 25 degrees) for sodium salts are: diethyl phosphate, minus 1.8 plus or minus 0.5; ethylene phosphate, minus 6.4 plus or minus 0.2; trimethylene phosphate, minus 3.0 plus or minus 0.2; tetramethylene phosphate, minus 2.2 plus or minus 0.1; methyl beta-D-ribofuranoside cyclic 3:5-phosphate, minus 11.1 plus or minus 0.2; methyl alpha-D-glucopyranoside cyclic 4:6-phosphate, minus 6.3 plus or minus 0.1; and cyclic adenosine 3:5-monophosphate (5-ester bond), minus 11.1 plus or minus 0.4 (10-minus 3 M Mg-2+). The enthalpy of hydrolysis of the 3-ester bond of cyclic adenosine 3:5-monophosphate (10-minus 3 M Mg-2+) has been revised to minus 11.1 plus or minus 0.2 kcal/mol from the value of minus 13.2 plus or minus 0.4 kcal/mol reported previously (greengard, p., rudolph, s.a., and sturtevant, j. m. (1969) j. biol. Chem. 244, 4798). All these values pertain to the hydrolysis of singly charged diesters to form singly charged monoesters. The data for the acyclic and monocyclic phosphodiesters are in qualitative agreement with their hydrolytic reactivities. The enthalpies measured for the hydrolysis of the glycoside cyclic phosphates cannot now be explained on the basis of their structures or reactivities; perhaps a contribution to the enthalpies by solvation or a previously unrecognized geometric strain effect may be responsible for the large exothermic enthalpies of these cyclic phosphate diesters. Changes in the heat capacity, increment Cp, for some of the hydrolytic reactions were also measured.",75GER/WES,,75GER/WES_850
9,,169260,Reversibility of adenosine 3':5'-monophosphate-dependent protein kinase reactions.,<PubMedArticle 169260> Shizuta Y; Beavo JA; Bechtel PJ; Hofmann F; Krebs EG. Reversibility of adenosine 3':5'-monophosphate-dependent protein kinase reactions.. J Biol Chem. 1975. 250(17):6891-6,1975,Shizuta Y; Beavo JA; Bechtel PJ; Hofmann F; Krebs EG,J Biol Chem,250,17,6891-6,https://ncbi.nlm.nih.gov/pubmed/169260,"Using a homogeneous enzyme from rabbit skeletal muscle, it has been demonstrated that the cyclic adenosine 3':5'-monophosphate (cyclic AMP)-dependent protein kinase reaction is reversible. In addition to the phosphorylated protein substrate, the reverse reaction requires Mg2+, ADP, and cyclic AMP when the holoenzyme is used as the source of enzyme. It is independent of cyclic AMP when the catalytic subunit of the protein kinase is used. The optimum pH for the reverse reaction with 32P-labeled casein as the substrate is 5.7, essentially the same as that for the forward reaction. Among the nucleotide subtrates tested, ADP serves as the best phosphoryl group acceptor. The Km of the enzyme for ADP is 3.3 mM and that for 32P-casein is 1.7 mg/ml. The equilibrium constant at 30 degrees is approximately 0.042 at a magnesium concentration of 10 mM and a pH of 6.9. This result indicates that the free energy of hydrolysis (deltaG0obs) of the phosphorylated protein substrate is relatively high, i.e. approximately -6.5 kcal/mol under these conditions.",75SHI/BEA,,75SHI/BEA_560
